,Unnamed: 0,Litres,PDF,Wiki,Имя,Short name,Отчество,Фамилия,Название,Ссылка,Score,Авт. Права,Дата смерти,Wiki id,Авт. права wiki
14,14,0,0,1,,,,Былины,Три поездки Ильи Муромца (прозаический пересказ),ru.wikisource.org/wiki/%D0%A1%D0%B0%D0%B4%D0%BA%D0%BE,1,1,,Q546440,1
15,15,0,0,1,,,,Мифы древних славян,Сотворение земли,ru.wikisource.org/wiki/%D0%A1%D0%B0%D0%B4%D0%BA%D0%BE,1,1,,,1
16,16,0,0,1,Древнерусская,Д,,литература,Повесть временных лет (фрагменты),ru.wikisource.org/wiki/%D0%9F%D0%BE%D0%B2%D0%B5%D1%81%D1%82%D1%8C_%D0%B2%D1%80%D0%B5%D0%BC%D0%B5%D0%BD%D0%BD%D1%8B%D1%85_%D0%BB%D0%B5%D1%82,1,1,,Q445179,1
17,17,0,0,1,Древнерусская,Д,,литература,Слово о разорении Рязани Батыем (фрагменты),ru.wikisource.org/wiki/%D0%9F%D0%BE%D0%B2%D0%B5%D1%81%D1%82%D1%8C_%D0%B2%D1%80%D0%B5%D0%BC%D0%B5%D0%BD%D0%BD%D1%8B%D1%85_%D0%BB%D0%B5%D1%82,1,1,,Q445179,1
18,18,0,0,1,Древнерусская,Д,,литература,Житие Бориса и Глеба,ru.wikisource.org/wiki/%D0%9F%D0%BE%D0%B2%D0%B5%D1%81%D1%82%D1%8C_%D0%B2%D1%80%D0%B5%D0%BC%D0%B5%D0%BD%D0%BD%D1%8B%D1%85_%D0%BB%D0%B5%D1%82,1,1,,Q445179,1
19,19,0,0,1,Древнерусская,Д,,литература,Поучение Владимира Мономаха,ru.wikisource.org/wiki/%D0%9F%D0%BE%D1%83%D1%87%D0%B5%D0%BD%D0%B8%D0%B5_%D0%92%D0%BB%D0%B0%D0%B4%D0%B8%D0%BC%D0%B8%D1%80%D0%B0_%D0%9C%D0%BE%D0%BD%D0%BE%D0%BC%D0%B0%D1%85%D0%B0,1,1,,Q445179,1
20,20,0,0,1,Древнерусская,Д,,литература,Сказание о Петре и Февронии Муромских,ru.wikisource.org/wiki/%D0%9F%D0%BE%D1%83%D1%87%D0%B5%D0%BD%D0%B8%D0%B5_%D0%92%D0%BB%D0%B0%D0%B4%D0%B8%D0%BC%D0%B8%D1%80%D0%B0_%D0%9C%D0%BE%D0%BD%D0%BE%D0%BC%D0%B0%D1%85%D0%B0,1,1,,Q445179,1
21,21,0,0,1,Древнерусская,Д,,литература,Житие протопопа Аввакума,ru.wikisource.org/wiki/%D0%96%D0%B8%D1%82%D0%B8%D0%B5_%D0%BF%D1%80%D0%BE%D1%82%D0%BE%D0%BF%D0%BE%D0%BF%D0%B0_%D0%90%D0%B2%D0%B2%D0%B0%D0%BA%D1%83%D0%BC%D0%B0,1,1,,Q445179,1
22,22,0,0,1,Древнерусская,Д,,литература,Сказание о Кожемяке,ru.wikisource.org/wiki/%D0%96%D0%B8%D1%82%D0%B8%D0%B5_%D0%BF%D1%80%D0%BE%D1%82%D0%BE%D0%BF%D0%BE%D0%BF%D0%B0_%D0%90%D0%B2%D0%B2%D0%B0%D0%BA%D1%83%D0%BC%D0%B0,1,1,,Q445179,1
23,23,0,0,1,Древнерусская,Д,,литература,Сказание о Белгородском киселе,ru.wikisource.org/wiki/%D0%96%D0%B8%D1%82%D0%B8%D0%B5_%D0%BF%D1%80%D0%BE%D1%82%D0%BE%D0%BF%D0%BE%D0%BF%D0%B0_%D0%90%D0%B2%D0%B2%D0%B0%D0%BA%D1%83%D0%BC%D0%B0,1,1,,Q445179,1
