,Litres,PDF,Wiki,Имя,Название,Отчество,Ссылка,Фамилия,Short name,Score
16,0,0,1,Древнерусская,Повесть временных лет (фрагменты),,ru.wikisource.org/wiki/%D0%9F%D0%BE%D0%B2%D0%B5%D1%81%D1%82%D1%8C_%D0%B2%D1%80%D0%B5%D0%BC%D0%B5%D0%BD%D0%BD%D1%8B%D1%85_%D0%BB%D0%B5%D1%82,литература,Д,1
17,0,0,1,Древнерусская,Слово о разорении Рязани Батыем (фрагменты),,ru.wikisource.org/wiki/%D0%9F%D0%BE%D0%B2%D0%B5%D1%81%D1%82%D1%8C_%D0%B2%D1%80%D0%B5%D0%BC%D0%B5%D0%BD%D0%BD%D1%8B%D1%85_%D0%BB%D0%B5%D1%82,литература,Д,1
18,0,0,1,Древнерусская,Житие Бориса и Глеба,,ru.wikisource.org/wiki/%D0%9F%D0%BE%D0%B2%D0%B5%D1%81%D1%82%D1%8C_%D0%B2%D1%80%D0%B5%D0%BC%D0%B5%D0%BD%D0%BD%D1%8B%D1%85_%D0%BB%D0%B5%D1%82,литература,Д,1
19,0,0,1,Древнерусская,Поучение Владимира Мономаха,,ru.wikisource.org/wiki/%D0%9F%D0%BE%D1%83%D1%87%D0%B5%D0%BD%D0%B8%D0%B5_%D0%92%D0%BB%D0%B0%D0%B4%D0%B8%D0%BC%D0%B8%D1%80%D0%B0_%D0%9C%D0%BE%D0%BD%D0%BE%D0%BC%D0%B0%D1%85%D0%B0,литература,Д,1
20,0,0,1,Древнерусская,Сказание о Петре и Февронии Муромских,,ru.wikisource.org/wiki/%D0%9F%D0%BE%D1%83%D1%87%D0%B5%D0%BD%D0%B8%D0%B5_%D0%92%D0%BB%D0%B0%D0%B4%D0%B8%D0%BC%D0%B8%D1%80%D0%B0_%D0%9C%D0%BE%D0%BD%D0%BE%D0%BC%D0%B0%D1%85%D0%B0,литература,Д,1
21,0,0,1,Древнерусская,Житие протопопа Аввакума,,ru.wikisource.org/wiki/%D0%96%D0%B8%D1%82%D0%B8%D0%B5_%D0%BF%D1%80%D0%BE%D1%82%D0%BE%D0%BF%D0%BE%D0%BF%D0%B0_%D0%90%D0%B2%D0%B2%D0%B0%D0%BA%D1%83%D0%BC%D0%B0,литература,Д,1
22,0,0,1,Древнерусская,Сказание о Кожемяке,,ru.wikisource.org/wiki/%D0%96%D0%B8%D1%82%D0%B8%D0%B5_%D0%BF%D1%80%D0%BE%D1%82%D0%BE%D0%BF%D0%BE%D0%BF%D0%B0_%D0%90%D0%B2%D0%B2%D0%B0%D0%BA%D1%83%D0%BC%D0%B0,литература,Д,1
23,0,0,1,Древнерусская,Сказание о Белгородском киселе,,ru.wikisource.org/wiki/%D0%96%D0%B8%D1%82%D0%B8%D0%B5_%D0%BF%D1%80%D0%BE%D1%82%D0%BE%D0%BF%D0%BE%D0%BF%D0%B0_%D0%90%D0%B2%D0%B2%D0%B0%D0%BA%D1%83%D0%BC%D0%B0,литература,Д,1
24,0,0,1,Древнерусская,Преподобный Сергий Радонежский (фрагменты очерка Б. Зайцева),,ru.wikisource.org/wiki/%D0%96%D0%B8%D1%82%D0%B8%D0%B5_%D0%BF%D1%80%D0%BE%D1%82%D0%BE%D0%BF%D0%BE%D0%BF%D0%B0_%D0%90%D0%B2%D0%B2%D0%B0%D0%BA%D1%83%D0%BC%D0%B0,литература,Д,1
25,0,0,1,М.,Ода на день восшествия на престол Елисаветы Петровны,В.,ru.wikisource.org/wiki/%D0%9E%D0%B4%D0%B0_%D0%BD%D0%B0_%D0%B4%D0%B5%D0%BD%D1%8C_%D0%B2%D0%BE%D1%81%D1%88%D0%B5%D1%81%D1%82%D0%B2%D0%B8%D1%8F_%D0%BD%D0%B0_%D0%BF%D1%80%D0%B5%D1%81%D1%82%D0%BE%D0%BB_%D0%95%D0%BB%D0%B8%D1%81%D0%B0%D0%B2%D0%B5%D1%82%D1%8B_%D0%9F%D0%B5%D1%82%D1%80%D0%BE%D0%B2%D0%BD%D1%8B,Ломоносов,М,1
26,0,0,1,М.,Вечернее размышление о Божием величестве при случае великого северного сияния,В.,ru.wikisource.org/wiki/%D0%92%D0%B5%D1%87%D0%B5%D1%80%D0%BD%D0%B5%D0%B5_%D1%80%D0%B0%D0%B7%D0%BC%D1%8B%D1%88%D0%BB%D0%B5%D0%BD%D0%B8%D0%B5_%D0%BE_%D0%91%D0%BE%D0%B6%D0%B8%D0%B5%D0%BC_%D0%B2%D0%B5%D0%BB%D0%B8%D1%87%D0%B5%D1%81%D1%82%D0%B2%D0%B5_%D0%BF%D1%80%D0%B8_%D1%81%D0%BB%D1%83%D1%87%D0%B0%D0%B5_%D0%B2%D0%B5%D0%BB%D0%B8%D0%BA%D0%BE%D0%B3%D0%BE_%D1%81%D0%B5%D0%B2%D0%B5%D1%80%D0%BD%D0%BE%D0%B3%D0%BE_%D1%81%D0%B8%D1%8F%D0%BD%D0%B8%D1%8F,Ломоносов,М,1
27,0,0,1,М.,Разговор с Анакреонтом,В.,ru.wikisource.org/wiki/%D0%A0%D0%B0%D0%B7%D0%B3%D0%BE%D0%B2%D0%BE%D1%80_%D1%81_%D0%90%D0%BD%D0%B0%D0%BA%D1%80%D0%B5%D0%BE%D0%BD%D1%82%D0%BE%D0%BC,Ломоносов,М,1
