;Имя;Отчество;Фамилия;Название;PDF;Wiki;Ссылка
135;М.;А.;Шолохов;Нахалёнок;0;1;
136;М.;А.;Шолохов;Поднятая целина;0;1;
137;У.;;Шекспир;Гамлет — Перевод Б.Пастернака — Перевод А.Кронеберга — Перевод А.Радлова — Перевод М.Лозинского;0;1;ru.wikisource.org/wiki/%D0%93%D0%B0%D0%BC%D0%BB%D0%B5%D1%82
138;У.;;Шекспир;Ромео и Джульетта — Перевод Е.Савич — Перевод Щепкиной-Куперник — Перевод Б.Пастернака;0;1;ru.wikisource.org/wiki/%D0%A0%D0%BE%D0%BC%D0%B5%D0%BE_%D0%B8_%D0%94%D0%B6%D1%83%D0%BB%D1%8C%D0%B5%D1%82%D1%82%D0%B0
139;У.;;Шекспир;Ромео и Джульетта;1;0;
140;У.;;Шекспир;Гамлет;1;0;
141;С.;А.;Есенин;Пороша;0;1;ru.wikisource.org/wiki/%D0%9F%D0%BE%D1%80%D0%BE%D1%88%D0%B0
142;С.;А.;Есенин;До свиданья, друг мой, до свиданья;0;1;ru.wikisource.org/wiki/%D0%94%D0%BE_%D1%81%D0%B2%D0%B8%D0%B4%D0%B0%D0%BD%D1%8C%D1%8F,_%D0%B4%D1%80%D1%83%D0%B3_%D0%BC%D0%BE%D0%B9,_%D0%B4%D0%BE_%D1%81%D0%B2%D0%B8%D0%B4%D0%B0%D0%BD%D1%8C%D1%8F
143;С.;А.;Есенин;Отговорила роща золотая;0;1;ru.wikisource.org/wiki/%D0%9E%D1%82%D0%B3%D0%BE%D0%B2%D0%BE%D1%80%D0%B8%D0%BB%D0%B0_%D1%80%D0%BE%D1%89%D0%B0_%D0%B7%D0%BE%D0%BB%D0%BE%D1%82%D0%B0%D1%8F
144;С.;А.;Есенин;Собаке Качалова;0;1;ru.wikisource.org/wiki/%D0%A1%D0%BE%D0%B1%D0%B0%D0%BA%D0%B5_%D0%9A%D0%B0%D1%87%D0%B0%D0%BB%D0%BE%D0%B2%D0%B0
145;С.;А.;Есенин;Край ты мой заброшенный;0;1;ru.wikisource.org/wiki/%D0%9A%D1%80%D0%B0%D0%B9_%D1%82%D1%8B_%D0%BC%D0%BE%D0%B9_%D0%B7%D0%B0%D0%B1%D1%80%D0%BE%D1%88%D0%B5%D0%BD%D0%BD%D1%8B%D0%B9
146;С.;А.;Есенин;Анна Снегина;0;1;ru.wikisource.org/wiki/%D0%90%D0%BD%D0%BD%D0%B0_%D0%A1%D0%BD%D0%B5%D0%B3%D0%B8%D0%BD%D0%B0
147;С.;А.;Есенин;Вот уж вечер;0;1;ru.wikisource.org/wiki/%D0%92%D0%BE%D1%82_%D1%83%D0%B6_%D0%B2%D0%B5%D1%87%D0%B5%D1%80
148;С.;А.;Есенин;Несказанное, синее, нежное;0;1;ru.wikisource.org/wiki/%D0%9D%D0%B5%D1%81%D0%BA%D0%B0%D0%B7%D0%B0%D0%BD%D0%BD%D0%BE%D0%B5,_%D1%81%D0%B8%D0%BD%D0%B5%D0%B5,_%D0%BD%D0%B5%D0%B6%D0%BD%D0%BE%D0%B5
149;С.;А.;Есенин;Разбуди меня завтра рано;0;1;ru.wikisource.org/wiki/%D0%A0%D0%B0%D0%B7%D0%B1%D1%83%D0%B4%D0%B8_%D0%BC%D0%B5%D0%BD%D1%8F_%D0%B7%D0%B0%D0%B2%D1%82%D1%80%D0%B0_%D1%80%D0%B0%D0%BD%D0%BE
150;С.;А.;Есенин;Топи да болота;0;1;ru.wikisource.org/wiki/%D0%A2%D0%BE%D0%BF%D0%B8_%D0%B4%D0%B0_%D0%B1%D0%BE%D0%BB%D0%BE%D1%82%D0%B0
151;С.;А.;Есенин;Я покинул родимый дом;0;1;ru.wikisource.org/wiki/%D0%AF_%D0%BF%D0%BE%D0%BA%D0%B8%D0%BD%D1%83%D0%BB_%D1%80%D0%BE%D0%B4%D0%B8%D0%BC%D1%8B%D0%B9_%D0%B4%D0%BE%D0%BC
152;С.;А.;Есенин;Низкий дом с голубыми ставнями;0;1;ru.wikisource.org/wiki/%D0%9D%D0%B8%D0%B7%D0%BA%D0%B8%D0%B9_%D0%B4%D0%BE%D0%BC_%D1%81_%D0%B3%D0%BE%D0%BB%D1%83%D0%B1%D1%8B%D0%BC%D0%B8_%D1%81%D1%82%D0%B0%D0%B2%D0%BD%D1%8F%D0%BC%D0%B8
153;С.;А.;Есенин;Я иду долиной. На затылке кепи;0;1;ru.wikisource.org/wiki/%D0%AF_%D0%B8%D0%B4%D1%83_%D0%B4%D0%BE%D0%BB%D0%B8%D0%BD%D0%BE%D0%B9._%D0%9D%D0%B0_%D0%B7%D0%B0%D1%82%D1%8B%D0%BB%D0%BA%D0%B5_%D0%BA%D0%B5%D0%BF%D0%B8
154;С.;А.;Есенин;Мелколесье. Степь и дали;0;1;ru.wikisource.org/wiki/%D0%9C%D0%B5%D0%BB%D0%BA%D0%BE%D0%BB%D0%B5%D1%81%D1%8C%D0%B5._%D0%A1%D1%82%D0%B5%D0%BF%D1%8C_%D0%B8_%D0%B4%D0%B0%D0%BB%D0%B8
155;С.;А.;Есенин;Гой ты, Русь, моя родная;0;1;ru.wikisource.org/wiki/%D0%93%D0%BE%D0%B9_%D1%82%D1%8B,_%D0%A0%D1%83%D1%81%D1%8C,_%D0%BC%D0%BE%D1%8F_%D1%80%D0%BE%D0%B4%D0%BD%D0%B0%D1%8F
156;С.;А.;Есенин;Шаганэ ты моя, Шаганэ!;0;1;ru.wikisource.org/wiki/%D0%A8%D0%B0%D0%B3%D0%B0%D0%BD%D1%8D_%D1%82%D1%8B_%D0%BC%D0%BE%D1%8F,_%D0%A8%D0%B0%D0%B3%D0%B0%D0%BD%D1%8D!
157;С.;А.;Есенин;Не жалею, не зову, не плачу;0;1;ru.wikisource.org/wiki/%D0%9D%D0%B5_%D0%B6%D0%B0%D0%BB%D0%B5%D1%8E,_%D0%BD%D0%B5_%D0%B7%D0%BE%D0%B2%D1%83,_%D0%BD%D0%B5_%D0%BF%D0%BB%D0%B0%D1%87%D1%83
158;С.;А.;Есенин;Письмо к женщине;0;1;ru.wikisource.org/wiki/%D0%9F%D0%B8%D1%81%D1%8C%D0%BC%D0%BE_%D0%BA_%D0%B6%D0%B5%D0%BD%D1%89%D0%B8%D0%BD%D0%B5
159;С.;А.;Есенин;С добрым утром;0;1;ru.wikisource.org/wiki/%D0%A1_%D0%B4%D0%BE%D0%B1%D1%80%D1%8B%D0%BC_%D1%83%D1%82%D1%80%D0%BE%D0%BC
160;С.;А.;Есенин;;1;0;
161;С.;А.;Есенин; ;1;0;
162;С.;А.;Есенин; Стихотворения;1;0;
163;А.;П.;Платонов;Корова;1;1;
164;А.;П.;Платонов;Волшебное кольцо;0;1;
165;А.;П.;Платонов;Котлован;0;1;
166;А.;П.;Платонов;Шарманка;0;1;
167;А.;П.;Платонов;Сокровенный человек;0;1;
168;А.;П.;Платонов;Чевенгур;0;1;
169;А.;П.;Платонов;Юшка;0;1;
170;А.;П.;Платонов;На заре туманной юности;0;1;
171;А.;П.;Платонов;Впрок;0;1;
172;А.;П.;Платонов;Неизвестный цветок;0;1;
173;А.;П.;Платонов;В прекрасном и яростном мире;1;0;
174;А.;К.;Толстой;Средь шумного бала…;0;1;ru.wikisource.org/wiki/%D0%A1%D1%80%D0%B5%D0%B4%D1%8C_%D1%88%D1%83%D0%BC%D0%BD%D0%BE%D0%B3%D0%BE_%D0%B1%D0%B0%D0%BB%D0%B0,_%D1%81%D0%BB%D1%83%D1%87%D0%B0%D0%B9%D0%BD%D0%BE_(%D0%90._%D0%9A._%D0%A2%D0%BE%D0%BB%D1%81%D1%82%D0%BE%D0%B9)
175;А.;К.;Толстой;Край ты мой, родимый край…;0;1;ru.wikisource.org/wiki/%D0%9A%D1%80%D0%B0%D0%B9_%D1%82%D1%8B_%D0%BC%D0%BE%D0%B9,_%D1%80%D0%BE%D0%B4%D0%B8%D0%BC%D1%8B%D0%B9_%D0%BA%D1%80%D0%B0%D0%B9_(%D0%90._%D0%9A._%D0%A2%D0%BE%D0%BB%D1%81%D1%82%D0%BE%D0%B9)
176;А.;К.;Толстой;Где гнутся над омутом лозы…;0;1;ru.wikisource.org/wiki/%D0%93%D0%B4%D0%B5_%D0%B3%D0%BD%D1%83%D1%82%D1%81%D1%8F_%D0%BD%D0%B0%D0%B4_%D0%BE%D0%BC%D1%83%D1%82%D0%BE%D0%BC_%D0%BB%D0%BE%D0%B7%D1%8B_(%D0%90._%D0%9A._%D0%A2%D0%BE%D0%BB%D1%81%D1%82%D0%BE%D0%B9)
177;А.;К.;Толстой;Благовест;0;1;ru.wikisource.org/wiki/%D0%91%D0%BB%D0%B0%D0%B3%D0%BE%D0%B2%D0%B5%D1%81%D1%82_(%D0%90._%D0%9A._%D0%A2%D0%BE%D0%BB%D1%81%D1%82%D0%BE%D0%B9)
178;А.;К.;Толстой;Коль любить, так без рассудку…;0;1;ru.wikisource.org/wiki/%D0%9A%D0%BE%D0%BB%D1%8C_%D0%BB%D1%8E%D0%B1%D0%B8%D1%82%D1%8C,_%D1%82%D0%B0%D0%BA_%D0%B1%D0%B5%D0%B7_%D1%80%D0%B0%D1%81%D1%81%D1%83%D0%B4%D0%BA%D1%83_(%D0%90._%D0%9A._%D0%A2%D0%BE%D0%BB%D1%81%D1%82%D0%BE%D0%B9)
179;А.;К.;Толстой;Князь Серебряный;1;0;
180;В.;М.;Шукшин;Дядя Ермолай;1;0;
181;Н.;С.;Лесков;Очарованный странник;1;1;ru.wikisource.org/wiki/%D0%9E%D1%87%D0%B0%D1%80%D0%BE%D0%B2%D0%B0%D0%BD%D0%BD%D1%8B%D0%B9_%D1%81%D1%82%D1%80%D0%B0%D0%BD%D0%BD%D0%B8%D0%BA
182;Н.;С.;Лесков;Левша;1;1;ru.wikisource.org/wiki/%D0%9B%D0%B5%D0%B2%D1%88%D0%B0
183;Н.;С.;Лесков;Тупейный художник;1;0;
184;Н.;С.;Лесков;Леди Макбет Мценского уезда;1;0;
185;А.;А.;Блок;Родина;0;1;ru.wikisource.org/wiki/%D0%A0%D0%BE%D0%B4%D0%B8%D0%BD%D0%B0_(%D0%91%D0%BB%D0%BE%D0%BA)
186;А.;А.;Блок;Сольвейг;0;1;ru.wikisource.org/wiki/%D0%A1%D0%BE%D0%BB%D1%8C%D0%B2%D0%B5%D0%B9%D0%B3_(%D0%91%D0%BB%D0%BE%D0%BA)
187;А.;А.;Блок;Возмездие;0;1;ru.wikisource.org/wiki/%D0%92%D0%BE%D0%B7%D0%BC%D0%B5%D0%B7%D0%B4%D0%B8%D0%B5_(%D0%91%D0%BB%D0%BE%D0%BA)
188;А.;А.;Блок;О как безумно за окном...;0;1;ru.wikisource.org/wiki/%D0%9E,_%D0%BA%D0%B0%D0%BA_%D0%B1%D0%B5%D0%B7%D1%83%D0%BC%D0%BD%D0%BE_%D0%B7%D0%B0_%D0%BE%D0%BA%D0%BD%D0%BE%D0%BC_(%D0%91%D0%BB%D0%BE%D0%BA)
189;А.;А.;Блок;В ресторане;0;1;ru.wikisource.org/wiki/%D0%92_%D1%80%D0%B5%D1%81%D1%82%D0%BE%D1%80%D0%B0%D0%BD%D0%B5_(%D0%91%D0%BB%D0%BE%D0%BA)
190;А.;А.;Блок;Ты — как отзвук забытого гимна;0;1;ru.wikisource.org/wiki/%D0%A2%D1%8B_%E2%80%94_%D0%BA%D0%B0%D0%BA_%D0%BE%D1%82%D0%B7%D0%B2%D1%83%D0%BA_%D0%B7%D0%B0%D0%B1%D1%8B%D1%82%D0%BE%D0%B3%D0%BE_%D0%B3%D0%B8%D0%BC%D0%BD%D0%B0_(%D0%91%D0%BB%D0%BE%D0%BA)
191;А.;А.;Блок;Как тяжело ходить среди людей…;0;1;ru.wikisource.org/wiki/%D0%9A%D0%B0%D0%BA_%D1%82%D1%8F%D0%B6%D0%B5%D0%BB%D0%BE_%D1%85%D0%BE%D0%B4%D0%B8%D1%82%D1%8C_%D1%81%D1%80%D0%B5%D0%B4%D0%B8_%D0%BB%D1%8E%D0%B4%D0%B5%D0%B9_(%D0%91%D0%BB%D0%BE%D0%BA)
192;А.;А.;Блок;Да, так диктует вдохновенье…;0;1;ru.wikisource.org/wiki/%D0%94%D0%B0._%D0%A2%D0%B0%D0%BA_%D0%B4%D0%B8%D0%BA%D1%82%D1%83%D0%B5%D1%82_%D0%B2%D0%B4%D0%BE%D1%85%D0%BD%D0%BE%D0%B2%D0%B5%D0%BD%D1%8C%D0%B5_(%D0%91%D0%BB%D0%BE%D0%BA)
193;А.;А.;Блок;На железной дороге;0;1;ru.wikisource.org/wiki/%D0%9D%D0%B0_%D0%B6%D0%B5%D0%BB%D0%B5%D0%B7%D0%BD%D0%BE%D0%B9_%D0%B4%D0%BE%D1%80%D0%BE%D0%B3%D0%B5_(%D0%91%D0%BB%D0%BE%D0%BA)
194;А.;А.;Блок;Ямбы;0;1;ru.wikisource.org/wiki/%D0%AF%D0%BC%D0%B1%D1%8B_(%D0%91%D0%BB%D0%BE%D0%BA)
195;А.;А.;Блок;Заклятие огнём и мраком;0;1;ru.wikisource.org/wiki/%D0%92%D0%B5%D1%82%D0%B5%D1%80_%D0%BF%D1%80%D0%B8%D0%BD%D0%B5%D1%81_%D0%B8%D0%B7%D0%B4%D0%B0%D0%BB%D1%91%D0%BA%D0%B0_(%D0%91%D0%BB%D0%BE%D0%BA)
196;А.;А.;Блок;О, я хочу безумно жить...;0;1;ru.wikisource.org/wiki/%D0%9E,_%D1%8F_%D1%85%D0%BE%D1%87%D1%83_%D0%B1%D0%B5%D0%B7%D1%83%D0%BC%D0%BD%D0%BE_%D0%B6%D0%B8%D1%82%D1%8C_(%D0%91%D0%BB%D0%BE%D0%BA)
197;А.;А.;Блок;Летний вечер;0;1;ru.wikisource.org/wiki/%D0%9B%D0%B5%D1%82%D0%BD%D0%B8%D0%B9_%D0%B2%D0%B5%D1%87%D0%B5%D1%80_(%D0%91%D0%BB%D0%BE%D0%BA)
198;А.;А.;Блок;О весна без конца и без краю…;0;1;ru.wikisource.org/wiki/%D0%9E,_%D0%B2%D0%B5%D1%81%D0%BD%D0%B0_%D0%B1%D0%B5%D0%B7_%D0%BA%D0%BE%D0%BD%D1%86%D0%B0_%D0%B8_%D0%B1%D0%B5%D0%B7_%D0%BA%D1%80%D0%B0%D1%8E_(%D0%91%D0%BB%D0%BE%D0%BA)
199;А.;А.;Блок;Двенадцать;0;1;ru.wikisource.org/wiki/%D0%94%D0%B2%D0%B5%D0%BD%D0%B0%D0%B4%D1%86%D0%B0%D1%82%D1%8C_(%D0%91%D0%BB%D0%BE%D0%BA)
200;А.;А.;Блок;Ушла. Но гиацинты ждали…;0;1;ru.wikisource.org/wiki/%D0%AF%D0%BC%D0%B1%D1%8B_(%D0%91%D0%BB%D0%BE%D0%BA)
201;А.;А.;Блок;Ветер принёс издалека…;0;1;ru.wikisource.org/wiki/%D0%92%D0%B5%D1%82%D0%B5%D1%80_%D0%BF%D1%80%D0%B8%D0%BD%D0%B5%D1%81_%D0%B8%D0%B7%D0%B4%D0%B0%D0%BB%D1%91%D0%BA%D0%B0_(%D0%91%D0%BB%D0%BE%D0%BA)
202;А.;А.;Блок;О доблестях, о подвигах, о славе…;0;1;ru.wikisource.org/wiki/%D0%9E_%D0%B4%D0%BE%D0%B1%D0%BB%D0%B5%D1%81%D1%82%D1%8F%D1%85,_%D0%BE_%D0%BF%D0%BE%D0%B4%D0%B2%D0%B8%D0%B3%D0%B0%D1%85,_%D0%BE_%D1%81%D0%BB%D0%B0%D0%B2%D0%B5_(%D0%91%D0%BB%D0%BE%D0%BA)
203;А.;А.;Блок;;1;0;
204;А.;А.;Блок; ;1;0;
205;А.;А.;Блок; Стихотворения;1;0;
206;М.;Ю.;Лермонтов;Песня про купца Калашникова;1;1;ru.wikisource.org/wiki/%D0%9F%D0%B5%D1%81%D0%BD%D1%8F_%D0%BF%D1%80%D0%BE_%D1%86%D0%B0%D1%80%D1%8F_%D0%98%D0%B2%D0%B0%D0%BD%D0%B0_%D0%92%D0%B0%D1%81%D0%B8%D0%BB%D1%8C%D0%B5%D0%B2%D0%B8%D1%87%D0%B0,_%D0%BC%D0%BE%D0%BB%D0%BE%D0%B4%D0%BE%D0%B3%D0%BE_%D0%BE%D0%BF%D1%80%D0%B8%D1%87%D0%BD%D0%B8%D0%BA%D0%B0_%D0%B8_%D1%83%D0%B4%D0%B0%D0%BB%D0%BE%D0%B3%D0%BE_%D0%BA%D1%83%D0%BF%D1%86%D0%B0_%D0%9A%D0%B0%D0%BB%D0%B0%D1%88%D0%BD%D0%B8%D0%BA%D0%BE%D0%B2%D0%B0_(%D0%9B%D0%B5%D1%80%D0%BC%D0%BE%D0%BD%D1%82%D0%BE%D0%B2)
207;М.;Ю.;Лермонтов;Герой нашего времени;1;1;ru.wikisource.org/wiki/%D0%93%D0%B5%D1%80%D0%BE%D0%B9_%D0%BD%D0%B0%D1%88%D0%B5%D0%B3%D0%BE_%D0%B2%D1%80%D0%B5%D0%BC%D0%B5%D0%BD%D0%B8_(%D0%9B%D0%B5%D1%80%D0%BC%D0%BE%D0%BD%D1%82%D0%BE%D0%B2)
208;М.;Ю.;Лермонтов;Три пальмы;1;1;ru.wikisource.org/wiki/%D0%A2%D1%80%D0%B8_%D0%BF%D0%B0%D0%BB%D1%8C%D0%BC%D1%8B_(%D0%9B%D0%B5%D1%80%D0%BC%D0%BE%D0%BD%D1%82%D0%BE%D0%B2)
209;М.;Ю.;Лермонтов;Парус;1;1;ru.wikisource.org/wiki/%D0%9F%D0%B0%D1%80%D1%83%D1%81_(%D0%9B%D0%B5%D1%80%D0%BC%D0%BE%D0%BD%D1%82%D0%BE%D0%B2)
210;М.;Ю.;Лермонтов;Тучи;1;1;ru.wikisource.org/wiki/%D0%A2%D1%83%D1%87%D0%B8_(%D0%9B%D0%B5%D1%80%D0%BC%D0%BE%D0%BD%D1%82%D0%BE%D0%B2)
211;М.;Ю.;Лермонтов;Листок;1;1;ru.wikisource.org/wiki/%D0%9B%D0%B8%D1%81%D1%82%D0%BE%D0%BA_(%D0%9B%D0%B5%D1%80%D0%BC%D0%BE%D0%BD%D1%82%D0%BE%D0%B2)
212;М.;Ю.;Лермонтов;Бородино;1;1;ru.wikisource.org/wiki/%D0%91%D0%BE%D1%80%D0%BE%D0%B4%D0%B8%D0%BD%D0%BE_(%D0%9B%D0%B5%D1%80%D0%BC%D0%BE%D0%BD%D1%82%D0%BE%D0%B2)
213;М.;Ю.;Лермонтов;Родина;0;1;ru.wikisource.org/wiki/%D0%A0%D0%BE%D0%B4%D0%B8%D0%BD%D0%B0_(%D0%9B%D0%B5%D1%80%D0%BC%D0%BE%D0%BD%D1%82%D0%BE%D0%B2)
214;М.;Ю.;Лермонтов;Беглец;0;1;ru.wikisource.org/wiki/%D0%91%D0%B5%D0%B3%D0%BB%D0%B5%D1%86_(%D0%9B%D0%B5%D1%80%D0%BC%D0%BE%D0%BD%D1%82%D0%BE%D0%B2)
215;М.;Ю.;Лермонтов;Предсказание;0;1;ru.wikisource.org/wiki/%D0%9F%D1%80%D0%B5%D0%B4%D1%81%D0%BA%D0%B0%D0%B7%D0%B0%D0%BD%D0%B8%D0%B5_(%D0%9B%D0%B5%D1%80%D0%BC%D0%BE%D0%BD%D1%82%D0%BE%D0%B2)
216;М.;Ю.;Лермонтов;Когда волнуется желтеющая нива…;0;1;ru.wikisource.org/wiki/%D0%9A%D0%BE%D0%B3%D0%B4%D0%B0_%D0%B2%D0%BE%D0%BB%D0%BD%D1%83%D0%B5%D1%82%D1%81%D1%8F_%D0%B6%D0%B5%D0%BB%D1%82%D0%B5%D1%8E%D1%89%D0%B0%D1%8F_%D0%BD%D0%B8%D0%B2%D0%B0_(%D0%9B%D0%B5%D1%80%D0%BC%D0%BE%D0%BD%D1%82%D0%BE%D0%B2)
217;М.;Ю.;Лермонтов;Нищий;0;1;ru.wikisource.org/wiki/%D0%9D%D0%B8%D1%89%D0%B8%D0%B9_(%D0%9B%D0%B5%D1%80%D0%BC%D0%BE%D0%BD%D1%82%D0%BE%D0%B2)
218;М.;Ю.;Лермонтов;Нет, не тебя так пылко я люблю…;0;1;ru.wikisource.org/wiki/%D0%9D%D0%B5%D1%82,_%D0%BD%D0%B5_%D1%82%D0%B5%D0%B1%D1%8F_%D1%82%D0%B0%D0%BA_%D0%BF%D1%8B%D0%BB%D0%BA%D0%BE_%D1%8F_%D0%BB%D1%8E%D0%B1%D0%BB%D1%8E_(%D0%9B%D0%B5%D1%80%D0%BC%D0%BE%D0%BD%D1%82%D0%BE%D0%B2)
219;М.;Ю.;Лермонтов;Дума;0;1;ru.wikisource.org/wiki/%D0%94%D1%83%D0%BC%D0%B0_(%D0%9B%D0%B5%D1%80%D0%BC%D0%BE%D0%BD%D1%82%D0%BE%D0%B2)
220;М.;Ю.;Лермонтов;Завещание;0;1;ru.wikisource.org/wiki/%D0%97%D0%B0%D0%B2%D0%B5%D1%89%D0%B0%D0%BD%D0%B8%D0%B5_(%D0%9B%D0%B5%D1%80%D0%BC%D0%BE%D0%BD%D1%82%D0%BE%D0%B2)
221;М.;Ю.;Лермонтов;Мцыри;0;1;ru.wikisource.org/wiki/%D0%9C%D1%86%D1%8B%D1%80%D0%B8_(%D0%9B%D0%B5%D1%80%D0%BC%D0%BE%D0%BD%D1%82%D0%BE%D0%B2)
222;М.;Ю.;Лермонтов;И скучно и грустно;0;1;ru.wikisource.org/wiki/%D0%98_%D1%81%D0%BA%D1%83%D1%87%D0%BD%D0%BE_%D0%B8_%D0%B3%D1%80%D1%83%D1%81%D1%82%D0%BD%D0%BE_(%D0%9B%D0%B5%D1%80%D0%BC%D0%BE%D0%BD%D1%82%D0%BE%D0%B2)
223;М.;Ю.;Лермонтов;Выхожу один я на дорогу…;0;1;ru.wikisource.org/wiki/%D0%92%D1%8B%D1%85%D0%BE%D0%B6%D1%83_%D0%BE%D0%B4%D0%B8%D0%BD_%D1%8F_%D0%BD%D0%B0_%D0%B4%D0%BE%D1%80%D0%BE%D0%B3%D1%83_(%D0%9B%D0%B5%D1%80%D0%BC%D0%BE%D0%BD%D1%82%D0%BE%D0%B2)
224;М.;Ю.;Лермонтов;Как часто, пёстрою толпою окружён…;0;1;ru.wikisource.org/wiki/%D0%9A%D0%B0%D0%BA_%D1%87%D0%B0%D1%81%D1%82%D0%BE,_%D0%BF%D1%91%D1%81%D1%82%D1%80%D0%BE%D1%8E_%D1%82%D0%BE%D0%BB%D0%BF%D0%BE%D1%8E_%D0%BE%D0%BA%D1%80%D1%83%D0%B6%D1%91%D0%BD_(%D0%9B%D0%B5%D1%80%D0%BC%D0%BE%D0%BD%D1%82%D0%BE%D0%B2)
225;М.;Ю.;Лермонтов;Первое января;0;1;ru.wikisource.org/wiki/%D0%9F%D0%B5%D1%80%D0%B2%D0%BE%D0%B5_%D1%8F%D0%BD%D0%B2%D0%B0%D1%80%D1%8F_(%D0%9B%D0%B5%D1%80%D0%BC%D0%BE%D0%BD%D1%82%D0%BE%D0%B2)
226;М.;Ю.;Лермонтов;Утёс;0;1;ru.wikisource.org/wiki/%D0%A3%D1%82%D1%91%D1%81_(%D0%9B%D0%B5%D1%80%D0%BC%D0%BE%D0%BD%D1%82%D0%BE%D0%B2)
227;М.;Ю.;Лермонтов;Ангел;0;1;ru.wikisource.org/wiki/%D0%90%D0%BD%D0%B3%D0%B5%D0%BB_(%D0%9B%D0%B5%D1%80%D0%BC%D0%BE%D0%BD%D1%82%D0%BE%D0%B2)
228;М.;Ю.;Лермонтов;На севере диком стоит одиноко…;0;1;ru.wikisource.org/wiki/%D0%9D%D0%B0_%D1%81%D0%B5%D0%B2%D0%B5%D1%80%D0%B5_%D0%B4%D0%B8%D0%BA%D0%BE%D0%BC_%D1%81%D1%82%D0%BE%D0%B8%D1%82_%D0%BE%D0%B4%D0%B8%D0%BD%D0%BE%D0%BA%D0%BE_(%D0%9B%D0%B5%D1%80%D0%BC%D0%BE%D0%BD%D1%82%D0%BE%D0%B2)
229;М.;Ю.;Лермонтов;Узник;0;1;ru.wikisource.org/wiki/%D0%A3%D0%B7%D0%BD%D0%B8%D0%BA_(%D0%9B%D0%B5%D1%80%D0%BC%D0%BE%D0%BD%D1%82%D0%BE%D0%B2)
230;М.;Ю.;Лермонтов;Молитва;0;1;ru.wikisource.org/wiki/%D0%9C%D0%BE%D0%BB%D0%B8%D1%82%D0%B2%D0%B0_(%D0%92_%D0%BC%D0%B8%D0%BD%D1%83%D1%82%D1%83_%D0%B6%D0%B8%D0%B7%D0%BD%D0%B8_%D1%82%D1%80%D1%83%D0%B4%D0%BD%D1%83%D1%8E_%E2%80%94_%D0%9B%D0%B5%D1%80%D0%BC%D0%BE%D0%BD%D1%82%D0%BE%D0%B2)
231;М.;Ю.;Лермонтов;Смерть поэта;0;1;ru.wikisource.org/wiki/%D0%A1%D0%BC%D0%B5%D1%80%D1%82%D1%8C_%D0%BF%D0%BE%D1%8D%D1%82%D0%B0_(%D0%9B%D0%B5%D1%80%D0%BC%D0%BE%D0%BD%D1%82%D0%BE%D0%B2)
232;М.;Ю.;Лермонтов;Казачья колыбельная песня;0;1;ru.wikisource.org/wiki/%D0%9A%D0%B0%D0%B7%D0%B0%D1%87%D1%8C%D1%8F_%D0%BA%D0%BE%D0%BB%D1%8B%D0%B1%D0%B5%D0%BB%D1%8C%D0%BD%D0%B0%D1%8F_%D0%BF%D0%B5%D1%81%D0%BD%D1%8F_(%D0%9B%D0%B5%D1%80%D0%BC%D0%BE%D0%BD%D1%82%D0%BE%D0%B2)
233;М.;Ю.;Лермонтов;Пленный рыцарь;0;1;ru.wikisource.org/wiki/%D0%9F%D0%BB%D0%B5%D0%BD%D0%BD%D1%8B%D0%B9_%D1%80%D1%8B%D1%86%D0%B0%D1%80%D1%8C_(%D0%9B%D0%B5%D1%80%D0%BC%D0%BE%D0%BD%D1%82%D0%BE%D0%B2)
234;М.;Ю.;Лермонтов;Пророк;0;1;ru.wikisource.org/wiki/%D0%9F%D1%80%D0%BE%D1%80%D0%BE%D0%BA_(%D0%9B%D0%B5%D1%80%D0%BC%D0%BE%D0%BD%D1%82%D0%BE%D0%B2)
235;М.;Ю.;Лермонтов;Утес;1;0;
236;М.;Ю.;Лермонтов;На севере диком. . . ;1;0;
237;М.;Ю.;Лермонтов;Боярин Орша;1;0;
238;М.;Ю.;Лермонтов;Ашик-Кериб;1;0;
239;Н.;Г.;Чернышевский;Что делать?;1;1;ru.wikisource.org/wiki/%D0%A7%D1%82%D0%BE_%D0%B4%D0%B5%D0%BB%D0%B0%D1%82%D1%8C%3F_(%D0%A7%D0%B5%D1%80%D0%BD%D1%8B%D1%88%D0%B5%D0%B2%D1%81%D0%BA%D0%B8%D0%B9)
240;В.;П.;Астафьев;Конь с розовой гривой;1;1;
241;В.;П.;Астафьев;Васюткино озеро;0;1;
242;В.;П.;Астафьев;Печальный детектив;0;1;
243;В.;П.;Астафьев;Вам продолжать эту жизнь (письмо, адресованное юной читательнице);0;1;
244;В.;П.;Астафьев;Царь-рыба;0;1;
245;В.;П.;Астафьев;Фотография, на которой меня нет;0;1;
246;В.;П.;Астафьев;Игры;0;1;
247;А.;П.;Чехов;Беззащитное существо;1;1;ru.wikisource.org/wiki/%D0%91%D0%B5%D0%B7%D0%B7%D0%B0%D1%89%D0%B8%D1%82%D0%BD%D0%BE%D0%B5_%D1%81%D1%83%D1%89%D0%B5%D1%81%D1%82%D0%B2%D0%BE_(%D0%A7%D0%B5%D1%85%D0%BE%D0%B2)
