;Имя;Отчество;Фамилия;Название;PDF;Wiki;Ссылка
26;А.;С.;Пушкин;Сожженное письмо;0;1;ru.wikisource.org/wiki/%D0%A1%D0%BE%D0%B6%D0%B6%D0%B5%D0%BD%D0%BD%D0%BE%D0%B5_%D0%BF%D0%B8%D1%81%D1%8C%D0%BC%D0%BE
27;А.;С.;Пушкин;Поэт;0;1;ru.wikisource.org/wiki/%D0%9F%D0%BE%D1%8D%D1%82_(%D0%9F%D1%83%D1%88%D0%BA%D0%B8%D0%BD)
28;А.;С.;Пушкин;Арион;0;1;ru.wikisource.org/wiki/%D0%90%D1%80%D0%B8%D0%BE%D0%BD
29;А.;С.;Пушкин;И. И. Пущину;0;1;ru.wikisource.org/wiki/%D0%98._%D0%98._%D0%9F%D1%83%D1%89%D0%B8%D0%BD%D1%83
30;А.;С.;Пушкин;Дубровский;0;1;ru.wikisource.org/wiki/%D0%94%D1%83%D0%B1%D1%80%D0%BE%D0%B2%D1%81%D0%BA%D0%B8%D0%B9
31;А.;С.;Пушкин;Кипренскому;0;1;ru.wikisource.org/wiki/%D0%9A%D0%B8%D0%BF%D1%80%D0%B5%D0%BD%D1%81%D0%BA%D0%BE%D0%BC%D1%83
32;А.;С.;Пушкин;Птичка;0;1;ru.wikisource.org/wiki/%D0%9F%D1%82%D0%B8%D1%87%D0%BA%D0%B0_(%D0%9F%D1%83%D1%88%D0%BA%D0%B8%D0%BD)
33;А.;С.;Пушкин;Туча;0;1;ru.wikisource.org/wiki/%D0%A2%D1%83%D1%87%D0%B0_(%D0%9F%D1%83%D1%88%D0%BA%D0%B8%D0%BD)
34;А.;С.;Пушкин;Я памятник себе воздвиг нерукотворный;0;1;ru.wikisource.org/wiki/%D0%AF_%D0%BF%D0%B0%D0%BC%D1%8F%D1%82%D0%BD%D0%B8%D0%BA_%D1%81%D0%B5%D0%B1%D0%B5_%D0%B2%D0%BE%D0%B7%D0%B4%D0%B2%D0%B8%D0%B3_%D0%BD%D0%B5%D1%80%D1%83%D0%BA%D0%BE%D1%82%D0%B2%D0%BE%D1%80%D0%BD%D1%8B%D0%B9
35;А.;С.;Пушкин;Я вас любил;0;1;ru.wikisource.org/wiki/%D0%AF_%D0%B2%D0%B0%D1%81_%D0%BB%D1%8E%D0%B1%D0%B8%D0%BB_(%D0%9F%D1%83%D1%88%D0%BA%D0%B8%D0%BD)
36;А.;С.;Пушкин;Зимняя дорога;0;1;ru.wikisource.org/wiki/%D0%97%D0%B8%D0%BC%D0%BD%D1%8F%D1%8F_%D0%B4%D0%BE%D1%80%D0%BE%D0%B3%D0%B0
37;А.;С.;Пушкин;Медный всадник;0;1;ru.wikisource.org/wiki/%D0%9C%D0%B5%D0%B4%D0%BD%D1%8B%D0%B9_%D0%B2%D1%81%D0%B0%D0%B4%D0%BD%D0%B8%D0%BA_(%D0%9F%D1%83%D1%88%D0%BA%D0%B8%D0%BD)
38;А.;С.;Пушкин;Узник;0;1;ru.wikisource.org/wiki/%D0%A3%D0%B7%D0%BD%D0%B8%D0%BA_(%D0%9F%D1%83%D1%88%D0%BA%D0%B8%D0%BD)
39;А.;С.;Пушкин;На холмах Грузии;0;1;ru.wikisource.org/wiki/%D0%9D%D0%B0_%D1%85%D0%BE%D0%BB%D0%BC%D0%B0%D1%85_%D0%93%D1%80%D1%83%D0%B7%D0%B8%D0%B8
40;А.;С.;Пушкин;Пушкину;0;1;ru.wikisource.org/wiki/%D0%92._%D0%9B._%D0%9F%D1%83%D1%88%D0%BA%D0%B8%D0%BD%D1%83_(%D0%9F%D1%83%D1%88%D0%BA%D0%B8%D0%BD)
41;А.;С.;Пушкин;Пророк;0;1;ru.wikisource.org/wiki/%D0%9F%D1%80%D0%BE%D1%80%D0%BE%D0%BA_(%D0%9F%D1%83%D1%88%D0%BA%D0%B8%D0%BD)
42;А.;С.;Пушкин;Полтава;0;1;ru.wikisource.org/wiki/%D0%9F%D0%BE%D0%BB%D1%82%D0%B0%D0%B2%D0%B0
43;А.;С.;Пушкин;Признание;0;1;ru.wikisource.org/wiki/%D0%9F%D1%80%D0%B8%D0%B7%D0%BD%D0%B0%D0%BD%D0%B8%D0%B5_(%D0%9F%D1%83%D1%88%D0%BA%D0%B8%D0%BD)
44;А.;С.;Пушкин;Маленькие трагедии;1;0;
45;А.;С.;Пушкин;Сказка о рыбаке и рыбке;1;0;
46;А.;С.;Пушкин;Сказка о царе Салтане;1;0;
47;А.;С.;Пушкин;Повести Белкина;1;0;
48;А.;С.;Пушкин;Пиковая дама;1;0;
49;А.;С.;Пушкин;Сказка о мертвой царевне и семи богатырях;1;0;
50;А.;С.;Пушкин;Сказка о золотом петушке;1;0;
51;А.;С.;Пушкин;У лукоморья дуб зеленый;1;0;
52;А.;С.;Пушкин;Сказка о попе и работнике его Балде;1;0;
53;А.;С.;Пушкин;История села Горюхина;1;0;
54;М.;;Горький;Челкаш;1;1;ru.wikisource.org/wiki/%D0%A7%D0%B5%D0%BB%D0%BA%D0%B0%D1%88_(%D0%93%D0%BE%D1%80%D1%8C%D0%BA%D0%B8%D0%B9)
55;М.;;Горький;На дне;1;1;ru.wikisource.org/wiki/%D0%9D%D0%B0_%D0%B4%D0%BD%D0%B5_(%D0%93%D0%BE%D1%80%D1%8C%D0%BA%D0%B8%D0%B9)
56;М.;;Горький;Старуха Изергиль;1;1;ru.wikisource.org/wiki/%D0%A1%D1%82%D0%B0%D1%80%D1%83%D1%85%D0%B0_%D0%98%D0%B7%D0%B5%D1%80%D0%B3%D0%B8%D0%BB%D1%8C_(%D0%93%D0%BE%D1%80%D1%8C%D0%BA%D0%B8%D0%B9)
57;М.;;Горький;Макар Чудра;1;1;ru.wikisource.org/wiki/%D0%9C%D0%B0%D0%BA%D0%B0%D1%80_%D0%A7%D1%83%D0%B4%D1%80%D0%B0_(%D0%93%D0%BE%D1%80%D1%8C%D0%BA%D0%B8%D0%B9)
58;М.;;Горький;Фома Гордеев;0;1;ru.wikisource.org/wiki/%D0%9C%D0%B5%D1%89%D0%B0%D0%BD%D0%B5_(%D0%93%D0%BE%D1%80%D1%8C%D0%BA%D0%B8%D0%B9)
59;М.;;Горький;Публицистика;0;1;
60;М.;;Горький;Литературные портреты (В. И. Ленин, Л. Н. Толстой);0;1;
61;М.;;Горький;Мои университеты;0;1;ru.wikisource.org/wiki/%D0%9D%D0%B0_%D0%B4%D0%BD%D0%B5_(%D0%93%D0%BE%D1%80%D1%8C%D0%BA%D0%B8%D0%B9)
62;М.;;Горький;Сказки об Италии — 1-4;0;1;ru.wikisource.org/wiki/%D0%A7%D0%B5%D0%BB%D0%BA%D0%B0%D1%88_(%D0%93%D0%BE%D1%80%D1%8C%D0%BA%D0%B8%D0%B9)
63;М.;;Горький;Егор Булычёв и другие;0;1;ru.wikisource.org/wiki/%D0%9C%D0%B5%D1%89%D0%B0%D0%BD%D0%B5_(%D0%93%D0%BE%D1%80%D1%8C%D0%BA%D0%B8%D0%B9)
64;М.;;Горький;Мать;0;1;ru.wikisource.org/wiki/%D0%9C%D0%B0%D1%82%D1%8C_(%D0%93%D0%BE%D1%80%D1%8C%D0%BA%D0%B8%D0%B9)
65;М.;;Горький;Мещане;0;1;ru.wikisource.org/wiki/%D0%9C%D0%B5%D1%89%D0%B0%D0%BD%D0%B5_(%D0%93%D0%BE%D1%80%D1%8C%D0%BA%D0%B8%D0%B9)
66;М.;;Горький;Несвоевременные мысли;0;1;ru.wikisource.org/wiki/%D0%A0%D0%B5%D0%B2%D0%BE%D0%BB%D1%8E%D1%86%D0%B8%D1%8F_%D0%B8_%D0%BA%D1%83%D0%BB%D1%8C%D1%82%D1%83%D1%80%D0%B0_(%D0%93%D0%BE%D1%80%D1%8C%D0%BA%D0%B8%D0%B9_1918)
67;М.;;Горький;Ма-аленькая!;0;1;ru.wikisource.org/wiki/%D0%9C%D0%B0-%D0%B0%D0%BB%D0%B5%D0%BD%D1%8C%D0%BA%D0%B0%D1%8F!_(%D0%93%D0%BE%D1%80%D1%8C%D0%BA%D0%B8%D0%B9)
68;М.;;Горький;Песня о Соколе;0;1;ru.wikisource.org/wiki/%D0%94%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%BE_(%D0%93%D0%BE%D1%80%D1%8C%D0%BA%D0%B8%D0%B9)
69;М.;;Горький;Детство;0;1;ru.wikisource.org/wiki/%D0%94%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%BE_(%D0%93%D0%BE%D1%80%D1%8C%D0%BA%D0%B8%D0%B9)
70;А.;В.;Вампилов;Прошлым летом в Чулимске;0;1;
71;А.;В.;Вампилов;Свидание;0;1;
72;А.;В.;Вампилов;Старший сын;0;1;
73;А.;В.;Вампилов;Утиная охота;1;0;
74;Ф.;М.;Достоевский;Преступление и наказание;1;1;ru.wikisource.org/wiki/%D0%9F%D1%80%D0%B5%D1%81%D1%82%D1%83%D0%BF%D0%BB%D0%B5%D0%BD%D0%B8%D0%B5_%D0%B8_%D0%BD%D0%B0%D0%BA%D0%B0%D0%B7%D0%B0%D0%BD%D0%B8%D0%B5_(%D0%94%D0%BE%D1%81%D1%82%D0%BE%D0%B5%D0%B2%D1%81%D0%BA%D0%B8%D0%B9)
75;Ф.;М.;Достоевский;Белые ночи;1;1;ru.wikisource.org/wiki/%D0%91%D0%B5%D0%BB%D1%8B%D0%B5_%D0%BD%D0%BE%D1%87%D0%B8
